trace_id,fieldrep_id,treatment_group,AUC,n_timepoints,metric
cpd10,D,cp,0.14360201530973726,9,metabolism_per_area_mm2_measurement
cpd12,D,cp,0.015536054967185683,9,metabolism_per_area_mm2_measurement
cpd13,D,cp,0.03222719504503727,9,metabolism_per_area_mm2_measurement
cpd14,D,cp,-0.04036163930845896,18,metabolism_per_area_mm2_measurement
cpd15,D,cp,0.4319193467322072,9,metabolism_per_area_mm2_measurement
cpd16,D,cp,0.008527854031988174,9,metabolism_per_area_mm2_measurement
cpd17,D,cp,-0.059657488328348836,9,metabolism_per_area_mm2_measurement
cpd18,D,cp,-0.03753171544436749,9,metabolism_per_area_mm2_measurement
cpd19,D,cp,-0.025259354412217647,9,metabolism_per_area_mm2_measurement
cpd8,D,cp,-0.04157603826727479,9,metabolism_per_area_mm2_measurement
cpd9,D,cp,0.027010157743325026,9,metabolism_per_area_mm2_measurement
eea1,A,ee,0.05560201275676944,9,metabolism_per_area_mm2_measurement
eea11,A,ee,0.1098913714579767,9,metabolism_per_area_mm2_measurement
eea2,A,ee,0.06007662976640925,9,metabolism_per_area_mm2_measurement
eea3,A,ee,0.1226387905249433,9,metabolism_per_area_mm2_measurement
eea4,A,ee,1.0349708659620704,9,metabolism_per_area_mm2_measurement
eea6,A,ee,0.08521381557501763,9,metabolism_per_area_mm2_measurement
eea7,A,ee,0.06391156417446804,9,metabolism_per_area_mm2_measurement
eea8,A,ee,0.047960405579295894,9,metabolism_per_area_mm2_measurement
eea9,A,ee,0.07047990783683139,9,metabolism_per_area_mm2_measurement
eeb13,B,ee,0.1647325629191472,9,metabolism_per_area_mm2_measurement
eec1,C,ee,0.07052723878634906,9,metabolism_per_area_mm2_measurement
eec16,C,ee,0.0787590584493463,9,metabolism_per_area_mm2_measurement
eec17,C,ee,0.09526641031916823,9,metabolism_per_area_mm2_measurement
eec19,C,ee,0.07834021417139563,9,metabolism_per_area_mm2_measurement
eec2,C,ee,0.07432378177423639,9,metabolism_per_area_mm2_measurement
eec3,C,ee,0.1311547416939152,9,metabolism_per_area_mm2_measurement
eec4,C,ee,0.07560167167053461,9,metabolism_per_area_mm2_measurement
eec6,C,ee,0.0751171766158879,9,metabolism_per_area_mm2_measurement
eed12,D,ee,0.06373685670297831,9,metabolism_per_area_mm2_measurement
eed13,D,ee,0.06780324780657887,9,metabolism_per_area_mm2_measurement
eed15,D,ee,0.07389971689241182,9,metabolism_per_area_mm2_measurement
eed16,D,ee,0.20055767157269366,9,metabolism_per_area_mm2_measurement
eed9,D,ee,0.10405106952145296,9,metabolism_per_area_mm2_measurement
epa1,A,ep,0.16014874895308184,9,metabolism_per_area_mm2_measurement
epa3,A,ep,1.4336080590537534,9,metabolism_per_area_mm2_measurement
epa4,A,ep,0.06767138229839864,9,metabolism_per_area_mm2_measurement
epa5,A,ep,1.3427504211236347,9,metabolism_per_area_mm2_measurement
epa6,A,ep,1.0359201708331196,9,metabolism_per_area_mm2_measurement
epa7,A,ep,0.1476531385293093,9,metabolism_per_area_mm2_measurement
epa8,A,ep,1.564172820333566,9,metabolism_per_area_mm2_measurement
epb10,B,ep,0.49435899434018266,9,metabolism_per_area_mm2_measurement
epb11,B,ep,0.10237925487484124,9,metabolism_per_area_mm2_measurement
epb13,B,ep,0.09817254402815737,9,metabolism_per_area_mm2_measurement
epb14,B,ep,0.09362119236665876,9,metabolism_per_area_mm2_measurement
epb15,B,ep,0.08550591851901637,9,metabolism_per_area_mm2_measurement
epb16,B,ep,2.919334845537941,9,metabolism_per_area_mm2_measurement
epb3,B,ep,0.04842074470880122,9,metabolism_per_area_mm2_measurement
epb5,B,ep,0.07255233108608443,9,metabolism_per_area_mm2_measurement
epb9,B,ep,0.060364771074143043,9,metabolism_per_area_mm2_measurement
epc12,C,ep,0.06265751234756593,9,metabolism_per_area_mm2_measurement
epc6,C,ep,0.07720908781823893,9,metabolism_per_area_mm2_measurement
epc7,C,ep,0.20014806941407004,9,metabolism_per_area_mm2_measurement
epc8,C,ep,0.07842837292960739,9,metabolism_per_area_mm2_measurement
epd13,D,ep,0.7037706755760187,9,metabolism_per_area_mm2_measurement
epd17,D,ep,0.2346193810396787,9,metabolism_per_area_mm2_measurement
epd18,D,ep,0.09701574908057536,9,metabolism_per_area_mm2_measurement
epd19,D,ep,0.08681400723812345,9,metabolism_per_area_mm2_measurement
